"ID","status","sentence","sparqlQald"
"15","Parsed","Who is the owner of Universal Studios?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Universal_Studios> <http://dbpedia.org/ontology/owner> ?Answer .}"
"16","Not Parsed","Which state of the USA has the highest population density?","N"
"17","Not Parsed","Which monarchs were married to a German?","N"
"18","Parsed","Which organizations were founded in 1950?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/foundationPlace> ""1950""^^<http://www.w3.org/2001/XMLSchema#gYear> .}"
"19","Parsed","Who created the comic Captain America?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Captain_America_(1979_film) <http://dbpedia.org/ontology/author> ?Answer .}"
"20","Parsed","Give me the Apollo 14 astronauts.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/mission> <http://dbpedia.org/resource/Apollo_14> .}"
"21","Parsed","Who wrote the book The pillars of the Earth?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?Answer .}"
"22","Not Parsed","Which state of the United States of America has the highest density?","N"
"23","Parsed","Which spaceflights were launched from Baikonur?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/property/launchPad> http://dbpedia.org/resource/Baikonur_Cosmodrome .}"
"24","Not Parsed","Give me a list of all trumpet players that were bandleaders.","N"
"25","Not Parsed","Which U.S. states are in the same timezone as Utah?","N"
"26","Not Parsed","Which U.S. states possess gold minerals?","N"
"27","Parsed","Who is the daughter of Ingrid Bergman married to?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Ingrid_Bergman <http://dbpedia.org/ontology/child> ?Answer .}"
"28","Not Parsed","How deep is Lake Placid?","N"
"29","Parsed","Show me all museums in London.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/London_(novel)> .}"
"30","Not Parsed","Which caves have more than 3 entrances?","N"
"31","Not Parsed","Who is the tallest player of the Atlanta Falcons?","N"
"32","Not Parsed","What are the top-10 action role-playing video games according to IGN?","N"
"33","Parsed","Give me all writers that won the Nobel Prize in literature.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/award> http://dbpedia.org/resource/Nobel_Prize_in_Literature .}"
"34","Not Parsed","Show me all basketball players that are higher than 2 meters.","N"
"35","Parsed","When was the Statue of Liberty built?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Votive_statue_of_the_Holy_Trinity <http://dbpedia.org/ontology/buildingStartDate> ?Answer .}"
"36","Parsed","Which states border Illinois?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Illinois> <http://dbpedia.org/property/borderingstates> ?Answer .}"
"37","Parsed","Who developed Minecraft?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Minecraft> .}"
"38","Parsed","Where did Hillel Slovak die?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Hillel_Slovak> <http://dbpedia.org/ontology/deathPlace> ?Answer .}"
"39","Not Parsed","What movies does Jesse Eisenberg play in?","N"
"40","Parsed","Give all swimmers that were born in Moscow.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Moscow> .}"
"41","Not Parsed","Give me all cosmonauts.","N"
"42","Not Parsed","Give me all Swiss non-profit organizations.","N"
"43","Parsed","Which presidents were born in 1945?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthDate> ""1945""^^<http://www.w3.org/2001/XMLSchema#gYear> .}"
"44","Not Parsed","What kind of music did Lou Reed play?","N"
"45","Not Parsed","Where do the Red Sox play?","N"
"46","Not Parsed","Show a list of soccer clubs that play in the Bundesliga.","N"
"47","Not Parsed","Which volcanos in Japan erupted since 2000?","N"
"48","Parsed","Which bridges cross the Seine?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/crosses> <http://dbpedia.org/resource/Seine> .}"
"49","Not Parsed","What is the official color of the University of Oxford?","N"
"50","Not Parsed","How many films did Hal Roach produce?","N"
"51","Not Parsed","Give me all Danish movies.","N"
"52","Not Parsed","What is the most frequent cause of death?","N"
"53","Not Parsed","Who are the four youngest MVP basketball players?","N"
"54","Not Parsed","Give me all companies in Munich.","N"
"55","Not Parsed","Give me the capitals of all countries that the Himalayas run through.","N"
"56","Not Parsed","How many movies did Park Chan-wook direct?","N"
"57","Parsed","Which rivers flow into a German lake?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/inflow> http://dbpedia.org/resource/Wilson_Lake_(Maine) .}"
"58","Not Parsed","How many airlines are there?","N"
"59","Not Parsed","Give me all islands that belong to Japan.","N"
"60","Not Parsed","How many inhabitants does Maribor have?","N"
"61","Not Parsed","Give me all Apollo 14 astronauts.","N"
"62","Not Parsed","Which companies have more than 1 million employees?","N"
"63","Parsed","In which films directed by Garry Marshall was Julia Roberts starring?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Marshall_(film) <http://dbpedia.org/ontology/director> ?Answer .}"
"64","Not Parsed","Give me all soccer clubs in the Premier League.","N"
"65","Not Parsed","What is the highest place of the Urals?","N"
"66","Not Parsed","Who is the governor of Wyoming?","N"
"67","Not Parsed","Where did the architect of the Eiffel Tower study?","N"
"68","Not Parsed","Give me all world heritage sites designated within the past two years.","N"
"69","Parsed","Give me all actors who were born in Paris after 1950.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> http://dbpedia.org/resource/Paris_(1924_film) .}"
"70","Parsed","Which movies star both Liz Taylor and Richard Burton?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Burton_&_Taylor <http://dbpedia.org/ontology/starring> ?Answer .}"
"71","Not Parsed","Give me all Australian nonprofit organizations.","N"
"72","Parsed","Which pope succeeded John Paul II?","SELECT ?Answer WHERE { http://dbpedia.org/resource/John_Paul_(colonial_administrator) <http://dbpedia.org/ontology/successor> ?Answer .}"
"73","Not Parsed","Give me all ESA astronauts.","N"
"74","Not Parsed","Who was president of Pakistan in 1978?","N"
"75","Not Parsed","Who is the owner of Rolls-Royce?","N"
"76","Parsed","How many museums does Paris have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Théâtre_de_Paris <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"77","Not Parsed","Where was JFK assassinated?","N"
"78","Not Parsed","Give me all federal chancellors of Germany.","N"
"79","Not Parsed","Show me everyone who was born on Halloween.","N"
"80","Parsed","Which beer originated in Ireland?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/sourceCountry> <http://dbpedia.org/resource/Ireland> .}"
"81","Not Parsed","To which countries does the Himalayan mountain system extend?","N"
"82","Not Parsed","Which actors were born in Germany?","N"
"83","Not Parsed","How much carbs does peanut butter have?","N"
"84","Parsed","Who produced the most films?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> http://dbpedia.org/resource/Films .}"
"85","Not Parsed","How many employees does Google have?","N"
"86","Parsed","Give me all actors who were born in Berlin.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> .}"
"87","Not Parsed","Who created Goofy?","N"
"88","Not Parsed","Which music albums contain the song Last Christmas?","N"
"89","Not Parsed","When was Alberta admitted as province?","N"
"90","Parsed","How many missions does the Soyuz programme have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Whitebrook <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"91","Not Parsed","Give me all the TV shows with Neil Patrick Harris.","N"
"92","Not Parsed","When were the Hells Angels founded?","N"
"93","Parsed","What is the net income of Apple?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Apple_Inc. <http://dbpedia.org/ontology/netIncome> ?Answer .}"
"94","Not Parsed","Give me all Swedish holidays.","N"
"95","Not Parsed","In which city was the former Dutch queen Juliana buried?","N"
"96","Parsed","List all the musicals with music by Leonard Bernstein.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Leonard_Bernstein> .}"
"97","Not Parsed","Give me all companies in the advertising industry.","N"
"98","Not Parsed","What is the largest metropolitan area in Washington state?","N"
"99","Not Parsed","Who killed John Lennon?","N"
"100","Parsed","Which writers studied in Istanbul?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/education> <http://dbpedia.org/resource/Istanbul> .}"
"101","Not Parsed","Give me all Australian metalcore bands.","N"
"102","Parsed","Which countries adopted the Euro?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/currency> http://dbpedia.org/resource/Euro .}"
"103","Not Parsed","Give me all types of eating disorders.","N"
"104","Not Parsed","Was Marc Chagall a jew?","N"
"105","Not Parsed","What was Brazil's lowest rank in the FIFA World Ranking?","N"
"106","Not Parsed","How many films did Leonardo DiCaprio star in?","N"
"107","Not Parsed","Was Margaret Thatcher a chemist?","N"
"108","Not Parsed","Which U.S. states are in the same time zone as Utah?","N"
"109","Not Parsed","Give me all books written by Danielle Steel.","N"
"110","Not Parsed","Which country has the most official languages?","N"
"111","Not Parsed","What is the total amount of men and women serving in the FDNY?","N"
"112","Not Parsed","Which actor played Chewbacca?","N"
"113","Not Parsed","Give me all libraries established earlier than 1400.","N"
"114","Not Parsed","Which programming languages were influenced by Perl?","N"
"115","Not Parsed","In which U.S. state is Mount McKinley located?","N"
"116","Not Parsed","What airlines are part of the SkyTeam alliance?","N"
"117","Not Parsed","Which ships were called after Benjamin Franklin?","N"
"118","Not Parsed","Give me all Methodist politicians.","N"
"119","Parsed","What other books have been written by the author of The Fault in Our Stars?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/The_Fault_in_Our_Stars> <http://dbpedia.org/ontology/author> ?Answer .}"
"120","Not Parsed","What is the highest mountain?","N"
"121","Parsed","Which poet wrote the most books?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Bachman_Books <http://dbpedia.org/ontology/author> ?Answer .}"
"122","Not Parsed","Which programming languages influenced Javascript?","N"
"123","Parsed","Which musician wrote the most books?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Bachman_Books <http://dbpedia.org/ontology/author> ?Answer .}"
"124","Parsed","Which films starring Clint Eastwood did he direct himself?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Bill_Cosby:_Himself <http://dbpedia.org/ontology/director> ?Answer .}"
"125","Not Parsed","Which software has been developed by organizations founded in California?","N"
"126","Parsed","Which instruments does Cat Stevens play?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Cat_Stevens> <http://dbpedia.org/ontology/genre> ?Answer .}"
"127","Not Parsed","How many airlines are members of the Star Alliance?","N"
"128","Not Parsed","Give me all actors called Baldwin.","N"
"129","Parsed","Who wrote The Hunger Games?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Hunger_Games_(novel) <http://dbpedia.org/ontology/author> ?Answer .}"
"130","Not Parsed","For which label did Elvis record his first album?","N"
"131","Not Parsed","Is Christian Bale starring in Batman Begins?","N"
"132","Parsed","Where is the residence of the prime minister of Spain?","SELECT ?Answer WHERE { http://dbpedia.org/resource/My_Dad's_the_Prime_Minister <http://dbpedia.org/ontology/composer> ?Answer .}"
"133","Not Parsed","Which actor was casted in the most movies?","N"
"134","Not Parsed","Which countries have more than two official languages?","N"
"135","Not Parsed","Which countries have more than ten caves?","N"
"136","Not Parsed","Show me all songs from Bruce Springsteen released between 1980 and 1990.","N"
"137","Parsed","Which television shows were created by John Cleese?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/John_Cleese> .}"
"138","Not Parsed","When did Latvia join the EU?","N"
"139","Not Parsed","Which soccer players were born on Malta?","N"
"140","Not Parsed","How many politicians graduated from Columbia University?","N"
"141","Not Parsed","Give me the birthdays of all actors of the television show Charmed.","N"
"142","Parsed","Which telecommunications organizations are located in Belgium?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Belgium> .}"
"143","Not Parsed","Give me a list of all lakes in Denmark.","N"
"144","Parsed","How many children does Eddie Murphy have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Murphy_Theatre <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"145","Not Parsed","Show me all English Gothic buildings in Kent.","N"
"146","Not Parsed","Who is the manager of Real Madrid?","N"
"147","Not Parsed","In which countries can you pay using the West African CFA franc?","N"
"148","Not Parsed","Which holidays are celebrated around the world?","N"
"149","Not Parsed","What is the longest river?","N"
"150","Parsed","Which organizations were founded in 1930?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/foundationPlace> ""1930""^^<http://www.w3.org/2001/XMLSchema#gYear> .}"
"151","Not Parsed","What is the birth name of Angela Merkel?","N"
"152","Not Parsed","Who has Tom Cruise been married to?","N"
"153","Not Parsed","Which weapons did Heckler & Koch develop?","N"
"154","Not Parsed","What is the smallest city by area in Germany?","N"
"155","Not Parsed","What is the ruling party in Lisbon?","N"
"156","Not Parsed","How heavy is Jupiter's lightest moon?","N"
"157","Not Parsed","How many employees does IBM have?","N"
"158","Parsed","List all episodes of the first season of the HBO television series The Sopranos!","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Sopranos_(episode) <http://dbpedia.org/ontology/seasonNumber> ?Answer .}"
"159","Not Parsed","What does ICRO stand for?","N"
"160","Not Parsed","Does the new Battlestar Galactica series have more episodes than the old one?","N"
"161","Parsed","Give me all films produced by Hal Roach.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> .}"
"162","Parsed","Who played Agent Smith in Matrix?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Smith_(EP) <http://dbpedia.org/ontology/genre> ?Answer .}"
"163","Not Parsed","Which Greek parties are pro-European?","N"
"164","Not Parsed","Give me a list of all bandleaders that play trumpet.","N"
"165","Not Parsed","What is the second highest mountain on Earth?","N"
"166","Not Parsed","Is Egypts largest city also its capital?","N"
"167","Parsed","Which rockets were launched from Baikonur?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/property/launchPad> http://dbpedia.org/resource/Baikonur_Cosmodrome .}"
"168","Not Parsed","How many programming languages are there?","N"
"169","Not Parsed","Which Chess players died in the same place they were born in?","N"
"170","Parsed","Who is the owner of Facebook?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Facebook_Zero <http://dbpedia.org/ontology/owner> ?Answer .}"
"171","Not Parsed","Give me all movies with Tom Cruise.","N"
"172","Not Parsed","In which U.S. state is Fort Knox located?","N"
"173","Parsed","Give me all cities in New Jersey with more than 100000 inhabitants.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Zion,_New_Jersey <http://dbpedia.org/ontology/isPartOf> ?Answer .}"
"174","Not Parsed","Which mountains are higher than the Nanga Parbat?","N"
"175","Not Parsed","Give me all B-sides of the Ramones.","N"
"176","Not Parsed","What are the specialities of the UNC Health Care?","N"
"177","Not Parsed","When was Olof Palme shot?","N"
"178","Not Parsed","List the seven kings of Rome.","N"
"179","Not Parsed","Give me all people that were born in Vienna and died in Berlin.","N"
"180","Not Parsed","Is Darth Vader Luke’s father?","N"
"181","Not Parsed","Show me all the breweries in Australia.","N"
"182","Parsed","Give me all films produced by Steven Spielberg with a budget of at least $80 million.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/producer> http://dbpedia.org/resource/Steven_Spielberg .}"
"183","Not Parsed","Give me all soccer clubs in Spain.","N"
"184","Parsed","Who produced films starring Natalie Portman?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> http://dbpedia.org/resource/Films .}"
"185","Not Parsed","Give me all breeds of the German Shepherd dog.","N"
"186","Not Parsed","Who is the heaviest player of the Chicago Bulls?","N"
"187","Not Parsed","Which languages are spoken in Estonia?","N"
"188","Not Parsed","What is the largest country in the world?","N"
"189","Not Parsed","What is the largest city in america?","N"
"190","Parsed","Who was the pope that founded the Vatican Television?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Vatican_Television_Center <http://dbpedia.org/ontology/foundedBy> ?Answer .}"
"191","Parsed","Who discovered Ceres?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?Answer .}"
"192","Parsed","Who is the king of the Netherlands?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?Answer .}"
"193","Not Parsed","Is Cola a beverage?","N"
"194","Not Parsed","What is the alma mater of the chancellor of Germany Angela Merkel?","N"
"195","Parsed","Who wrote the book Les Piliers de la terre?","SELECT ?Answer WHERE { http://dbpedia.org/resource/La_Mort_de_la_Terre <http://dbpedia.org/ontology/author> ?Answer .}"
"196","Parsed","Which airports does Yeti Airlines serve?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?Answer .}"
"197","Parsed","Where is the birthplace of Goethe?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Night_Of <http://dbpedia.org/ontology/composer> ?Answer .}"
"198","Not Parsed","Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?","N"
"199","Not Parsed","Which ingredients do I need for carrot cake?","N"
"200","Parsed","Who created Wikipedia?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Wikipedia> <http://dbpedia.org/ontology/author> ?Answer .}"
"201","Not Parsed","What is the highest mountain in Saxony Germany?","N"
"202","Not Parsed","Who is the current federal minister of finance in Germany?","N"
"203","Not Parsed","In which country is Mecca located?","N"
"204","Parsed","Who played Gus Fring in Breaking Bad?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Breaking_Bad <http://dbpedia.org/ontology/genre> ?Answer .}"
"205","Parsed","In which country does the Nile start?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Jewel_of_the_Nile <http://dbpedia.org/ontology/starring> ?Answer .}"
"206","Not Parsed","In which state Penn State University is located?","N"
"207","Not Parsed","What is the biggest stadium in Spain?","N"
"208","Not Parsed","Who is the coach of Ankara's ice hockey team?","N"
"209","Not Parsed","How large is the area of UK?","N"
"210","Parsed","Who created Batman?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Batman_Animated <http://dbpedia.org/ontology/author> ?Answer .}"
"211","Not Parsed","Was Sigmund Freud married?","N"
"212","Parsed","Who are the developers of DBpedia?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/DBpedia> <http://dbpedia.org/ontology/developer> ?Answer .}"
"213","Not Parsed","Give me all movies directed by Francis Ford Coppola.","N"
"214","Not Parsed","Are tree frogs a type of amphibian?","N"
"215","Parsed","What is the location of the Houses of Parliament?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Vale_of_Avoca <http://dbpedia.org/ontology/locatedInArea> ?Answer .}"
"216","Parsed","how much is the elevation of Düsseldorf Airport ?","SELECT ?Answer WHERE { http://dbpedia.org/resource/H_D_Range <http://dbpedia.org/ontology/elevation> ?Answer .}"
"217","Parsed","How much is the population of mexico city ?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Mexico_City <http://dbpedia.org/ontology/populationTotal> ?Answer .}"
"218","Not Parsed","when was the founding date of french fifth republic?","N"
"219","Not Parsed","Who was the first King of England?","N"
"220","Parsed","Who is the editor of Forbes?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Forbes> <http://dbpedia.org/ontology/editor> ?Answer .}"
"221","Parsed","Which awards did Douglas Hofstadter win?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/award> http://dbpedia.org/resource/Douglas_Engelbart .}"
"222","Not Parsed","Who is the youngest Darts player?","N"
"223","Not Parsed","Is horse racing a sport?","N"
"224","Parsed","Which river does the Brooklyn Bridge cross?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Brooklyn_Bridge <http://dbpedia.org/ontology/crosses> ?Answer .}"
"225","Parsed","How many people live in Poland?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?Answer .}"
"226","Not Parsed","When was the last episode of the TV series Friends aired?","N"
"227","Parsed","Is the wife of president Obama called Michelle?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Michelle_Obama <http://dbpedia.org/ontology/spouse> ?Answer .}"
"229","Not Parsed","Who is 8th president of US?","N"
"230","Not Parsed","how much is the total population of  european union?","N"
"231","Not Parsed","Give me all launch pads operated by NASA.","N"
"232","Parsed","Who developed the video game World of Warcraft?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/World_of_Warcraft> <http://dbpedia.org/ontology/developer> ?Answer .}"
"233","Not Parsed","What is the birth name of Adele?","N"
"234","Parsed","What is the population of Cairo?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Cairo> <http://dbpedia.org/ontology/populationTotal> ?Answer .}"
"235","Not Parsed","Is Frank Herbert still alive?","N"
"236","Not Parsed","What is the last work of Dan Brown?","N"
"237","Not Parsed","Where is Sungkyunkwan University?","N"
"238","Parsed","Who is the author of the interpretation of dreams?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Interpretation_of_Dreams <http://dbpedia.org/ontology/author> ?Answer .}"
"239","Not Parsed","When was the death  of  Shakespeare?","N"
"241","Parsed","Who developed Slack?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> .}"
"242","Parsed","Where is the origin of Carolina reaper?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Night_Of <http://dbpedia.org/ontology/composer> ?Answer .}"
"243","Parsed","In which year was Rachel Stevens born?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthDate> ?Answer .}"
"244","Not Parsed","How often did Jane Fonda marry?","N"
"245","Parsed","Was the wife of president Lincoln called Mary?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Mary_Todd_Lincoln <http://dbpedia.org/ontology/spouse> ?Answer .}"
"246","Parsed","Which cities does the Weser flow through?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?Answer .}"
"247","Not Parsed","In which programming language is GIMP written?","N"
"248","Not Parsed","Which university did Angela Merkel attend?","N"
"249","Parsed","List all the musicals with music by Elton John.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Elton_John> .}"
"250","Not Parsed","How many Aldi stores are there?","N"
"251","Not Parsed","What is the longest river in the world?","N"
"252","Parsed","When was John Adams born?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/John_Adams_(ice_hockey,_born_1982)> <http://dbpedia.org/ontology/birthDate> ?Answer .}"
"253","Not Parsed","Which companies produce hovercrafts?","N"
"254","Parsed","Who was the wife of U.S. president Lincoln?","SELECT ?Answer WHERE { http://dbpedia.org/resource/U_Thant <http://dbpedia.org/ontology/spouse> ?Answer .}"
"255","Not Parsed","Which species does an elephant belong?","N"
"256","Parsed","How many people live in the capital of Australia?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/capital> ?Answer .}"
"257","Not Parsed","In which ancient empire could you pay with cocoa beans?","N"
"258","Not Parsed","How many theories did Albert Einstein come up with?","N"
"259","Parsed","Who composed the soundtrack for Cameron's Titanic?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Soundtrack_for_a_Revolution <http://dbpedia.org/ontology/musicComposer> ?Answer .}"
"260","Not Parsed","Give me the runtime of Toy Story.","N"
"262","Not Parsed","With how many countries Iran has borders?","N"
"263","Parsed","Which electronics companies were founded in Beijing?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/Beijing> .}"
"264","Parsed","Who was the successor of John F. Kennedy?","SELECT ?Answer WHERE { http://dbpedia.org/resource/John_F._Thompson <http://dbpedia.org/ontology/successor> ?Answer .}"
"265","Parsed","Who is the mayor of Paris?","SELECT ?Answer WHERE { http://dbpedia.org/resource/7th_arrondissement_of_Paris <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"266","Not Parsed","Did Arnold Schwarzenegger attend a university?","N"
"267","Not Parsed","Is James Bond married?","N"
"268","Not Parsed","Does the Isar flow into a lake?","N"
"269","Not Parsed","Which Indian company has the most employees?","N"
"270","Not Parsed","Who was John F. Kennedy's vice president?","N"
"271","Parsed","Which country does the creator of Miffy come from?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Zouave <http://dbpedia.org/ontology/author> ?Answer .}"
"273","Not Parsed","In what city is the Heineken brewery?","N"
"274","Not Parsed","Is Barack Obama a democrat?","N"
"275","Parsed","List the children of Margaret Thatcher.","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/child> ?Answer .}"
"276","Not Parsed","From which region is the Melon de Bourgogne?","N"
"278","Not Parsed","how big is the total area of North Rhine- Westphalia?","N"
"279","Not Parsed","Which city has the most inhabitants?","N"
"280","Not Parsed","What is Donald Trump's main business?","N"
"281","Not Parsed","When will start the final match of the football world cup 2018?","N"
"282","Parsed","Which films did Stanley Kubrick direct?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Stanley_Kubrick> .}"
"283","Not Parsed","how much is the population  Iraq?","N"
"284","Parsed","How many inhabitants does the largest city in Canada have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Shakespeare_in_the_Park_(New_York_City) <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"285","Parsed","Who is the mayor of the capital of French Polynesia?","SELECT ?Answer WHERE { http://dbpedia.org/resource/French_Community_of_Belgium <http://dbpedia.org/ontology/leaderName> ?Answer .}"
